GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
ABCA8;-0.296662033;3.539972837;-3.46183451;0.000724282;0.001528476;-1.577376226;11749097_a_at
ABCA9;-0.473704277;4.734247029;-2.572190217;0.011216783;0.019033537;-4.092087467;11730519_a_at
ABCB1;-1.153260116;4.778638548;-13.53185221;1.12E-26;7.70E-25;50.06799334;11759046_at
ABCB10;0.215883638;8.094372786;2.677301408;0.008368045;0.014547972;-3.829117199;11724634_s_at
ABCB11;0.045027642;2.896079228;0.981102753;0.328344282;0.393573232;-6.848995945;11752143_a_at
ABCB4;0.66148187;4.041945524;4.271019619;3.70E-05;9.67E-05;1.23718337;11732819_a_at
ABCB5;-0.171579954;3.259984522;-3.022963624;0.003010127;0.005679611;-2.898575699;11735441_a_at
ABCB6;-0.427925161;3.470584419;-6.760839047;4.06E-10;2.21E-09;12.33598192;11751468_a_at
ABCB7;0.112236423;8.313170467;1.535397351;0.127089639;0.171011087;-6.157965613;11737897_a_at
ABCB8;-0.758291436;3.685006899;-9.859350122;1.66E-17;2.61E-16;29.12615248;11754613_x_at
ABCB9;-1.137313234;4.116027087;-11.03232786;1.95E-20;4.79E-19;35.81673092;11747339_a_at
ABCC1;1.104645245;6.920428422;8.623503651;1.82E-14;1.80E-13;22.20450286;11719421_a_at
ABCC10;0.066037391;5.486224242;0.58655352;0.55850951;0.619860458;-7.157754683;11724636_a_at
ABCC11;-0.02578228;2.967614761;-0.48603009;0.627755038;0.683653311;-7.211726305;11731305_a_at
ABCC12;-0.150792923;2.823700164;-3.756514953;0.00025791;0.000587923;-0.606989442;11737712_at
ABCC13;-0.173682766;2.88185712;-3.736309812;0.000277355;0.000628988;-0.675582901;11762414_at
ABCC2;-0.629812678;3.425239817;-5.993470071;1.86E-08;7.96E-08;8.593096258;11730409_at
ABCC3;0.340912615;8.886508609;1.088335902;0.278438154;0.340749514;-6.738572051;11748362_s_at
ABCC4;0.197002724;2.978859382;3.833386314;0.000195111;0.000453938;-0.343310165;11752356_a_at
ABCC5;1.14738651;7.621240421;5.850505566;3.69E-08;1.51E-07;7.923281132;11727314_a_at
ABCC6;-1.996262918;4.117039107;-10.17847516;2.67E-18;4.71E-17;30.93927198;11727730_a_at
ABCC6P1;-0.264041719;3.321571508;-2.73355151;0.007128956;0.012554223;-3.684512828;11751125_a_at
ABCC8;-1.437402247;6.363877111;-3.511339594;0.000611486;0.001306688;-1.418913667;11723976_at
ABCC9;0.520257915;3.514592218;3.932618425;0.000135309;0.000323368;0.003350814;11742433_a_at
ABCD1;-0.185996485;3.652591646;-2.829898254;0.005387645;0.009701886;-3.430617257;11727955_at
ABCD2;0.158334445;2.934619209;3.624380147;0.000412804;0.000908782;-1.050128708;11737009_at
ABCD3;-0.456981695;9.831468001;-4.081109224;7.73E-05;0.000192011;0.53506866;11720481_s_at
ABCD4;0.278590179;4.352591385;2.985023873;0.003382328;0.006329657;-3.00555291;11752625_a_at
ABCE1;0.589274851;4.984352049;4.587879227;1.03E-05;2.95E-05;2.461593313;11747858_a_at
ABCF1;-0.265852113;7.922292195;-2.967639752;0.00356665;0.006641125;-3.054176461;200045_PM_at
ABCF2;0.756639898;5.376171649;6.764071739;4.00E-10;2.18E-09;12.35223141;11736618_a_at
ABCF3;-0.500757287;6.304335291;-6.429247613;2.18E-09;1.07E-08;10.68974156;11756361_x_at
ABCG1;2.144485822;8.121996694;11.52679764;1.12E-21;3.34E-20;38.64875623;11725517_x_at
ABCG2;1.140073232;5.192392138;4.613164592;9.30E-06;2.67E-05;2.562056381;11724538_a_at
ABCG4;-0.204389255;3.007482607;-4.096038163;7.30E-05;0.000182142;0.589373597;11730585_a_at
ABCG5;0.356829342;3.349370189;1.513167967;0.132637527;0.177677514;-6.191370479;11756916_a_at
ABCG8;-0.060414924;3.039554903;-0.883506627;0.378575541;0.445129557;-6.939687519;11737339_at
ABHD1;-0.145087785;2.990392884;-2.566869624;0.011381815;0.019289715;-4.105146094;11755135_a_at
ABHD10;-0.623043295;8.559331745;-7.628612444;4.25E-12;3.05E-11;16.82019604;11730237_at
ABHD11;-0.334696318;3.4708443;-5.480962565;2.08E-07;7.68E-07;6.236813487;11741702_a_at
ABHD12;-1.713448605;6.864703517;-13.35983982;2.99E-26;1.92E-24;49.09664056;11723773_a_at
ABHD12B;-0.07295707;2.822257628;-1.104180943;0.271531714;0.333504072;-6.721301923;11738559_a_at
ABHD13;0.333063009;7.38546847;3.316340405;0.001179386;0.002398204;-2.032189469;11730848_at
ABHD14A;-1.121191447;6.264279848;-8.585190657;2.25E-14;2.20E-13;21.99340664;11723542_a_at
ABHD14B;-0.776840844;4.128337467;-10.79283831;7.76E-20;1.74E-18;34.44612956;11747813_a_at
ABHD15;-0.253354544;6.796701449;-2.294302897;0.023358584;0.037098795;-4.741081149;11727562_at
ABHD2;1.060709702;7.532334361;4.584869736;1.05E-05;2.98E-05;2.449662644;11733839_s_at
ABHD3;0.951667365;8.791699308;5.092627617;1.20E-06;3.95E-06;4.53988154;11720859_s_at
ABHD4;0.121013754;3.201004688;2.36710492;0.019386624;0.031309978;-4.577616502;11749343_a_at
ABHD5;0.415723034;3.849248663;5.291220311;4.94E-07;1.73E-06;5.397602307;11723705_at
ABHD6;0.808029994;4.69845038;6.617083564;8.45E-10;4.39E-09;11.61721282;11723550_a_at
ABHD8;-1.058789102;3.862056424;-12.96447147;2.86E-25;1.53E-23;46.85648006;11721639_a_at
ABI1;0.921603929;5.629377879;7.274690403;2.80E-11;1.80E-10;14.96333291;11745521_x_at
ABI2;0.540757345;3.608960353;8.57903959;2.33E-14;2.27E-13;21.95953976;11751404_x_at
ABI3;0.143144506;5.607344088;0.888686149;0.375795053;0.442281457;-6.935109981;11728347_at
ABI3BP;0.489588285;8.637440891;1.595551763;0.112990262;0.153922078;-6.065215797;11719843_a_at
ABL1;0.417348753;8.873038073;3.561987493;0.000513338;0.001110796;-1.254868175;11757851_s_at
ABL2;0.342825625;4.424895047;2.098683332;0.037757991;0.057337068;-5.156848794;11741745_a_at
ABLIM1;-0.339624204;7.737686281;-2.568443144;0.011332782;0.01921255;-4.101286662;11749710_s_at
ABLIM2;-0.542612049;3.693946104;-5.24772639;6.01E-07;2.08E-06;5.207914086;11734390_a_at
ABLIM3;2.244573647;6.011737253;8.858529795;4.88E-15;5.27E-14;23.50486949;11725428_a_at
ABO;-0.266451985;2.925604109;-5.527922224;1.68E-07;6.28E-07;6.447383659;11749352_a_at
ABP1;1.562592336;6.408333669;4.359316799;2.61E-05;6.98E-05;1.571845251;11719962_s_at
ABR;1.717389482;7.363317342;12.9129411;3.84E-25;2.03E-23;46.56380093;11716687_x_at
ABRA;-0.064920638;2.757029635;-1.777550103;0.077790083;0.110043855;-5.763802393;11734151_at
ABT1;0.563085289;3.740070796;5.353121794;3.74E-07;1.33E-06;5.669312506;11758366_s_at
ABTB1;-0.750366964;3.282494034;-9.459492843;1.63E-16;2.19E-15;26.8664917;11763695_a_at
ABTB2;-0.224837158;3.420448832;-2.984505011;0.0033877;0.006338269;-3.00700776;11720877_at
ACAA1;-1.026351201;8.725710649;-9.154053687;9.22E-16;1.11E-14;25.15199596;11720921_s_at
ACAA2;-0.1629504;8.00281501;-1.370751171;0.172788469;0.224337014;-6.3941911;11715767_s_at
ACACA;0.764225018;7.106974017;5.915843319;2.70E-08;1.13E-07;8.228243138;11718264_a_at
ACACB;-2.223890581;5.079389335;-11.74976875;3.09E-22;1.01E-20;39.9255785;11720885_at
ACAD10;-1.075555469;4.997343109;-11.36409206;2.87E-21;8.00E-20;37.71679716;11740708_x_at
ACAD11;-0.868680125;6.470709307;-4.220949449;4.51E-05;0.000116017;1.049706382;11752117_x_at
ACAD8;-1.115971615;7.458992058;-9.878475286;1.49E-17;2.36E-16;29.23459652;11754333_a_at
ACAD9;-0.382430025;6.689710976;-4.810408715;4.06E-06;1.24E-05;3.359215487;11743539_a_at
ACADL;-2.395682033;3.157778466;-15.00197304;2.88E-30;4.01E-28;58.26994645;11761556_at
ACADM;-1.462891905;8.034011611;-11.33712298;3.35E-21;9.24E-20;37.562317;11747346_x_at
ACADS;-0.688254595;4.899885281;-5.238120363;6.27E-07;2.16E-06;5.16615715;11744183_a_at
ACADSB;-1.289206219;6.997607891;-8.178860744;2.13E-13;1.81E-12;19.77160781;11718312_at
ACADVL;-1.634621091;5.449238077;-10.94061378;3.31E-20;7.84E-19;35.29170483;11745736_a_at
ACAN;-0.63806904;3.397505528;-7.849345049;1.29E-12;9.86E-12;17.99540787;11725359_a_at
ACAP1;0.323783038;3.691304234;2.000174327;0.047542004;0.070656317;-5.353113489;11725476_at
ACAP2;0.796950464;4.788398382;5.251755284;5.90E-07;2.04E-06;5.225442342;11718323_at
ACAP3;-1.105832677;3.954144091;-11.37761505;2.65E-21;7.43E-20;37.79425767;11746603_a_at
ACAT1;-1.939773707;9.328457909;-10.04313919;5.80E-18;9.76E-17;30.16946189;11742973_at
ACAT2;0.364161566;8.246936879;2.688912364;0.008097358;0.014114646;-3.799488759;11746010_x_at
ACBD3;0.330877391;8.834754341;3.541707084;0.000550708;0.001185478;-1.320787916;11743567_s_at
ACBD4;-0.344047683;4.096388197;-4.84167188;3.56E-06;1.09E-05;3.487719489;11756812_a_at
ACBD5;1.260017644;6.306137471;6.853033798;2.53E-10;1.42E-09;12.80086134;11721778_a_at
ACBD6;-0.449225824;8.878177821;-6.376031396;2.84E-09;1.37E-08;10.42948151;11757520_s_at
ACBD7;0.429829029;3.509446617;4.048860994;8.74E-05;0.000215226;0.418288339;11740021_at
ACCN1;0.05712774;3.339464586;1.583136543;0.115793282;0.157362878;-6.084639386;11736560_a_at
ACCN2;-0.400239976;3.560486648;-4.799210014;4.26E-06;1.29E-05;3.3133259;11752092_s_at
ACCN3;0.064103376;3.13236909;0.987745262;0.325092003;0.390205217;-6.842483119;11756814_a_at
ACCN4;-0.775691973;3.660028979;-9.943159005;1.03E-17;1.67E-16;29.60158571;11735613_a_at
ACCN5;-0.002246276;2.952364655;-0.048647578;0.961273987;0.969202506;-7.328942191;11742277_at
ACCS;-0.523113469;3.347497767;-8.608980206;1.97E-14;1.94E-13;22.12445149;11748868_a_at
ACCSL;-0.058123005;2.751645337;-1.481212908;0.140942838;0.187450596;-6.238565914;11755699_a_at
ACD;-0.461432248;5.984798825;-5.244490937;6.10E-07;2.10E-06;5.193844155;11718424_at
ACE;-0.304591942;3.137149144;-4.968851761;2.06E-06;6.54E-06;4.016403248;11737789_a_at
ACE2;0.735729517;4.840943988;2.316660935;0.02206882;0.035207865;-4.691380153;11725626_a_at
ACER1;-0.097818992;2.865010419;-2.221726026;0.028012291;0.043712558;-4.899345255;11737873_at
ACER2;-0.137522784;2.948934466;-2.782445231;0.006189897;0.011022762;-3.55664299;11750806_s_at
ACER3;0.984493404;6.286394114;8.515631533;3.31E-14;3.16E-13;21.61082039;11724859_s_at
ACHE;-0.822475938;3.30655139;-10.88877715;4.46E-20;1.04E-18;34.99503484;11733280_a_at
ACIN1;-0.200987271;5.505933628;-1.279024424;0.203141659;0.258805954;-6.514512155;11716674_a_at
ACLY;0.360887268;7.640462931;4.33710967;2.85E-05;7.58E-05;1.487193154;11720620_s_at
ACMSD;0.222082096;3.056450395;1.079058749;0.28253748;0.345082132;-6.748569797;11727335_a_at
ACN9;-0.486303903;6.488433855;-3.669799994;0.000351646;0.000784249;-0.899258294;11722226_s_at
ACO1;-1.107488866;8.358417975;-8.369899684;7.44E-14;6.75E-13;20.812184;11755357_s_at
ACO2;-0.320058483;6.712415999;-3.15848663;0.001967788;0.003836604;-2.50690525;11752649_s_at
ACOT1;0.055813024;7.169458622;0.485008941;0.628477263;0.684288948;-7.212222866;11755310_s_at
ACOT11;-0.463266376;3.546836831;-5.690355179;7.87E-08;3.08E-07;7.184248595;11761658_at
ACOT12;-0.129681427;3.098230879;-2.672216424;0.008489148;0.014738796;-3.84205671;11740276_at
ACOT13;-0.373814321;8.054457479;-3.61797908;0.00042219;0.000927401;-1.071267673;11721111_a_at
ACOT4;0.556676229;4.749365365;3.666951637;0.000355215;0.000791493;-0.908764613;11727192_at
ACOT6;-0.018233106;2.940169534;-0.44260624;0.658777991;0.712037334;-7.231923277;11737151_at
ACOT7;1.431156699;7.376794381;7.446308411;1.13E-11;7.63E-11;15.85929488;11717743_a_at
ACOT8;-0.611483392;4.44197566;-8.22359629;1.67E-13;1.44E-12;20.01460497;11761076_x_at
ACOT9;1.071098273;8.491604101;10.73406622;1.09E-19;2.39E-18;34.10999505;11744488_a_at
ACOX1;-1.124386037;8.529720585;-7.28159992;2.70E-11;1.74E-10;14.99923707;11726323_a_at
ACOX2;-1.15941665;5.226770763;-6.283278145;4.50E-09;2.11E-08;9.978591551;11721223_at
ACOX3;-0.817233179;6.565169118;-6.114283584;1.03E-08;4.60E-08;9.166274137;11737303_a_at
ACOXL;-0.579338827;3.450912231;-7.038399614;9.69E-11;5.77E-10;13.74439037;11715224_s_at
ACP1;-0.689065365;10.17725101;-9.483626468;1.42E-16;1.92E-15;27.002422;11717156_s_at
ACP2;-1.234013942;5.272688993;-11.30984803;3.92E-21;1.07E-19;37.40608593;11720914_x_at
ACP5;1.202979756;6.983081106;5.103481679;1.14E-06;3.78E-06;4.586198675;11717981_a_at
ACP6;-0.278875457;6.808364073;-1.395313512;0.165274051;0.215798366;-6.360597256;11721112_a_at
ACPL2;-0.353013776;7.451592546;-3.11470884;0.002260732;0.00436434;-2.635046432;11753980_a_at
ACPP;0.466552411;3.87335193;4.061123825;8.34E-05;0.000206147;0.462610964;11729013_at
ACPT;-0.844911439;3.679804607;-10.49759926;4.25E-19;8.53E-18;32.75877071;11734528_at
ACR;-0.233298161;3.20751342;-4.498269287;1.49E-05;4.15E-05;2.108786966;11735563_s_at
ACRBP;-1.087071164;4.208211499;-10.68330327;1.46E-19;3.13E-18;33.81975333;11754458_a_at
ACRC;-0.293653253;3.222887399;-4.426273463;2.00E-05;5.43E-05;1.829025329;11741843_a_at
ACRV1;-0.140830105;3.440991422;-2.617620833;0.009892861;0.016957719;-3.979591067;11732536_a_at
ACSBG1;-0.28396072;2.823486255;-6.107853051;1.07E-08;4.73E-08;9.13560456;11752888_a_at
ACSBG2;-0.037141152;2.929201781;-1.016014449;0.311488854;0.376006759;-6.81428181;11728418_a_at
ACSF2;0.294338695;5.990650893;2.040566946;0.043296059;0.064873154;-5.27370753;11719035_a_at
ACSF3;-0.35479563;5.961881828;-3.73122575;0.000282463;0.000639836;-0.692795538;11734838_a_at
ACSL1;-0.063177905;7.185755694;-0.379298298;0.705078362;0.753505583;-7.257993505;11750700_a_at
ACSL3;0.832711247;9.196064148;6.995575938;1.21E-10;7.11E-10;13.52539058;11743606_a_at
ACSL4;0.803031563;9.694710984;9.717145564;3.75E-17;5.55E-16;28.32079802;11719042_s_at
ACSL5;3.692839333;8.330714097;12.97043506;2.76E-25;1.49E-23;46.89034182;11723947_a_at
ACSL6;-0.360592258;3.413456358;-4.197242821;4.94E-05;0.000126456;0.961528078;11747143_x_at
ACSM1;-0.577314799;3.622611594;-6.161206803;8.21E-09;3.71E-08;9.390608035;11740696_a_at
ACSM2A;-0.298416175;2.767132796;-6.588893916;9.75E-10;5.02E-09;11.47716178;11746680_s_at
ACSM2B;-0.011528244;3.112675667;-0.240653114;0.810198896;0.84560807;-7.301081508;11743944_x_at
ACSM3;-2.584041861;6.062675909;-8.182787864;2.09E-13;1.78E-12;19.79292241;11730154_a_at
ACSM4;-0.39886649;2.944014289;-6.109008339;1.06E-08;4.71E-08;9.14111323;11741930_at
ACSM5;-0.851181285;3.480172499;-11.58830723;7.85E-22;2.41E-20;39.00103905;11748871_a_at
ACSS1;-2.037277805;6.364623426;-9.874679455;1.52E-17;2.40E-16;29.21307091;11731578_s_at
ACSS2;-0.239273115;6.518289338;-1.558141212;0.121604065;0.164555592;-6.123301395;11722346_a_at
ACSS3;0.234301575;3.285923923;2.50375266;0.013512555;0.022570926;-4.25818806;11730931_at
ACTA1;0.228777767;3.495957001;3.531770835;0.000569938;0.001223888;-1.352971515;11753504_x_at
ACTA2;2.582186566;12.24403657;15.27849557;6.23E-31;1.03E-28;59.78977322;11722352_s_at
ACTB;1.609155598;11.81369463;17.73465304;1.11E-36;8.44E-34;72.90908434;11756071_x_at
ACTBL2;0.612592419;3.340910985;3.264789796;0.00139674;0.002802332;-2.189383138;11738453_at
ACTC1;-0.099663536;2.736657925;-2.622328536;0.009764058;0.016754378;-3.967832251;11720490_at
ACTG1;0.432772195;13.01904612;8.513899289;3.35E-14;3.19E-13;21.60130398;11757807_x_at
ACTG2;3.710583306;7.887332929;6.929967445;1.70E-10;9.79E-10;13.19105215;11748016_a_at
ACTL6A;0.364505707;9.049256767;3.577982159;0.000485565;0.001055556;-1.202660405;11720784_a_at
ACTL6B;-0.132529674;2.935495974;-2.752963906;0.006741632;0.011923583;-3.633985923;11730967_at
ACTL7A;-0.380990708;3.2792527;-5.884210655;3.14E-08;1.30E-07;8.080352948;11730892_at
ACTL7B;-0.533146567;3.20039837;-10.34639932;1.02E-18;1.92E-17;31.89602556;11727917_at
ACTL8;-0.025245889;3.263264364;-0.221640661;0.824937564;0.857691927;-7.305489159;11731182_at
ACTL9;-0.37926989;3.251081641;-6.210451507;6.45E-09;2.95E-08;9.627052105;11731115_at
ACTN1;1.52146264;10.67826239;15.41463188;2.94E-31;5.34E-29;60.53505951;11728374_s_at
ACTN2;-0.976249669;3.354389883;-10.73785131;1.07E-19;2.34E-18;34.13163995;11749692_a_at
ACTN3;-0.109773787;3.147503703;-2.552847721;0.011827232;0.019980891;-4.139443669;11730995_a_at
ACTN4;0.771102447;6.89173266;5.927730402;2.55E-08;1.07E-07;8.283936456;11715861_a_at
ACTR10;0.177816715;9.870661675;2.972070467;0.003518813;0.006559473;-3.041807262;11715961_a_at
ACTR1A;-0.503592892;5.955371887;-6.528021053;1.33E-09;6.70E-09;11.17576058;11752821_a_at
ACTR1B;-1.011399593;6.284267885;-12.4830423;4.52E-24;2.04E-22;44.11661107;11744061_at
ACTR2;0.402022074;11.06911711;9.246643746;5.46E-16;6.76E-15;25.67051991;11739032_x_at
ACTR3;0.669256384;11.11427256;11.31201537;3.87E-21;1.06E-19;37.41850042;11728643_s_at
ACTR3B;-0.397611529;3.673941802;-5.079488203;1.27E-06;4.17E-06;4.483900491;11737056_a_at
ACTR3C;-2.343807973;5.500308539;-11.44783979;1.77E-21;5.09E-20;38.19650569;11759956_a_at
ACTR5;-0.134025731;6.367971665;-1.439471558;0.152394013;0.200911124;-6.298746934;11727934_at
ACTR6;0.566760956;4.924213854;5.015505664;1.68E-06;5.42E-06;4.212691177;11763740_a_at
ACTR8;-0.486527116;5.682785457;-5.989798421;1.89E-08;8.10E-08;8.575777958;11742953_at
ACTRT1;-0.025004633;3.117191589;-0.458866845;0.647087592;0.701397388;-7.224580772;11734450_at
ACTRT2;-0.288980227;3.360731541;-5.593341653;1.24E-07;4.73E-07;6.742581854;11730416_at
ACVR1;1.511797651;9.684619227;15.17245678;1.12E-30;1.76E-28;59.20790001;11718648_s_at
ACVR1B;-0.973047294;8.730648627;-7.336071176;2.03E-11;1.33E-10;15.28278844;11720437_at
ACVR1C;-1.277287767;5.610523901;-4.820574497;3.89E-06;1.19E-05;3.400937152;11733619_a_at
ACVR2A;1.252071102;4.679119221;9.129992363;1.06E-15;1.26E-14;25.01743033;11752492_a_at
ACVR2B;-1.304931737;4.212474956;-12.33666861;1.05E-23;4.40E-22;43.2814281;11727681_a_at
ACVRL1;0.46163174;5.224460373;4.002747598;0.000104065;0.000253196;0.252551268;11721573_a_at
ACY1;0.752185291;4.15441629;4.745159421;5.36E-06;1.60E-05;3.092896399;11750230_a_at
ACY3;-1.37607129;4.323549145;-9.485019739;1.41E-16;1.91E-15;27.01027139;11726236_at
ACYP1;0.098951665;7.437598031;0.664351545;0.507629;0.572208411;-7.10907805;11728974_a_at
ACYP2;-0.426072098;5.659235812;-3.383041317;0.000944903;0.001952265;-1.825716185;11735240_a_at
ADA;0.215243052;7.319414892;0.927504268;0.355364602;0.421420008;-6.899962372;11758337_s_at
ADAD1;-0.126145832;2.845929357;-3.078471987;0.002533254;0.004845926;-2.739947856;11727119_a_at
ADAD2;-0.368582154;3.186199165;-5.158906809;8.93E-07;3.01E-06;4.823734832;11729005_a_at
ADAL;-0.792371925;4.751877445;-8.445544871;4.89E-14;4.56E-13;21.22623036;11732006_s_at
ADAM10;1.721835322;6.683954577;11.10688826;1.27E-20;3.19E-19;36.24365973;11736027_a_at
ADAM11;-0.58809187;3.607448979;-9.417021067;2.08E-16;2.74E-15;26.6274293;11731821_at
ADAM12;3.635258012;7.036512881;11.58989177;7.78E-22;2.39E-20;39.0101137;11722199_at
ADAM15;-0.933803005;4.377354462;-8.642902057;1.63E-14;1.63E-13;22.31148169;11745926_a_at
ADAM17;0.96629023;8.482778341;9.774083263;2.71E-17;4.10E-16;28.64304378;11731110_at
ADAM18;-0.141552625;3.126044203;-3.030968637;0.002936589;0.00554955;-2.875854129;11752308_a_at
ADAM19;2.643301939;6.924486898;11.80206526;2.29E-22;7.62E-21;40.2249495;11723188_s_at
ADAM2;0.014971813;2.770931758;0.390310416;0.696938767;0.746383792;-7.253746544;11746987_a_at
ADAM20;0.006434393;3.081260168;0.167981935;0.866855656;0.892629971;-7.315974552;11734255_at
ADAM21;-0.070825653;2.8862382;-1.470200212;0.143896991;0.190993786;-6.25460524;11752430_s_at
ADAM22;0.300847966;3.119715536;4.253008579;3.97E-05;0.000103297;1.169552097;11740546_a_at
ADAM23;0.588131865;4.000311262;3.795249197;0.000224191;0.000516341;-0.474660836;11736770_a_at
ADAM28;1.976194108;7.968100096;7.780188896;1.88E-12;1.40E-11;17.62588282;11736746_a_at
ADAM29;-0.046491464;2.879783122;-1.140087757;0.25632274;0.317285882;-6.681259399;11736525_a_at
ADAM30;-0.034239093;3.080774017;-0.691610164;0.490401848;0.555468583;-7.090599971;11734058_at
ADAM32;-0.57567384;3.16758897;-5.15577698;9.06E-07;3.05E-06;4.810275948;11728387_a_at
ADAM33;-1.064295303;3.714323705;-11.37108418;2.75E-21;7.70E-20;37.75684844;11761702_x_at
ADAM3A;0.140792112;2.703529273;3.122106068;0.002208552;0.004270784;-2.613502219;11748551_a_at
ADAM7;0.122381674;2.879807842;2.446561315;0.015743943;0.025913237;-4.393869769;11762139_at
ADAM8;-0.592752613;3.70736387;-6.936311889;1.65E-10;9.50E-10;13.22332;11748684_a_at
ADAM9;1.455293383;11.0225007;11.25639568;5.34E-21;1.43E-19;37.09991743;11755796_a_at
ADAMDEC1;1.728546989;5.022832054;4.519734725;1.37E-05;3.82E-05;2.192837575;11729110_s_at
ADAMTS1;-0.27978922;6.805789328;-1.00694275;0.315812184;0.38053727;-6.823417105;11732158_a_at
ADAMTS10;-0.273176327;2.758317506;-6.555474671;1.15E-09;5.89E-09;11.31151764;11727551_a_at
ADAMTS12;1.246966766;4.246722541;6.244076558;5.46E-09;2.53E-08;9.789087726;11744664_a_at
ADAMTS13;-0.594710226;3.002529144;-9.083435837;1.37E-15;1.60E-14;24.75727877;11755244_a_at
ADAMTS14;0.361499334;3.96677609;3.500136678;0.000635462;0.001353995;-1.45493683;11726953_at
