GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
A1BG;0.194464687;3.827468256;2.358329662;0.019831432;0.031951035;-4.597568682;11741180_a_at
A1CF;-2.421151503;6.010147911;-6.554910213;1.16E-09;5.91E-09;11.30872352;11746909_a_at
A2BP1;-0.270467242;2.867441666;-6.093214302;1.14E-08;5.06E-08;9.065853906;11762075_at
A2LD1;-1.404763413;4.611195721;-8.752865211;8.82E-15;9.16E-14;22.91911965;11743947_a_at
A2M;0.258618811;11.4651877;1.558871134;0.121431167;0.164346385;-6.122180776;11715363_a_at
A2ML1;0.926902974;3.417695191;2.121188532;0.035783289;0.054607055;-5.110771797;11749650_x_at
A3GALT2;-0.403049811;2.891254867;-7.390300109;1.52E-11;1.01E-10;15.56594896;11742524_at
A4GALT;-0.631736777;3.992758805;-5.486707146;2.03E-07;7.49E-07;6.262512352;11721503_a_at
A4GNT;-0.411025749;3.766426714;-1.676077555;0.096099818;0.133037664;-5.935696774;11735810_at
AAA1;-1.252475487;4.374755707;-8.509566672;3.43E-14;3.26E-13;21.57750434;11763060_a_at
AAAS;-0.51524149;4.241610025;-7.136309724;5.81E-11;3.55E-10;14.24734073;11716958_a_at
AACS;-0.213067002;7.471074937;-1.914745574;0.057697601;0.08417138;-5.516125153;11749474_a_at
AACSL;-0.098768545;3.343782104;-2.036814244;0.043676383;0.065381523;-5.281147607;11750316_at
AADAC;-1.357811776;5.855574201;-2.620876609;0.009803621;0.016815838;-3.971460877;11744163_at
AADACL2;-0.013177484;2.686379411;-0.367765367;0.713639663;0.761221806;-7.26231131;11731948_a_at
AADACL3;-0.19650378;2.995819106;-3.398992433;0.0008957;0.001858225;-1.775827705;11741944_a_at
AADACL4;-0.046054866;2.720650135;-1.105345839;0.27102869;0.33291936;-6.720022588;11737738_at
AADAT;-0.264686062;4.018772461;-1.885605431;0.061554952;0.089254005;-5.570191268;11724057_a_at
AAGAB;-0.266950641;8.083334252;-2.286800962;0.023805937;0.037743748;-4.757658014;11719078_a_at
AAK1;-0.269315892;3.417304617;-4.259681388;3.87E-05;0.000100827;1.194583226;11758390_s_at
AAMP;-0.259733034;8.448799992;-3.545697674;0.000543157;0.001170603;-1.307841361;11733735_x_at
AANAT;-0.175145147;2.852970998;-4.622100506;8.96E-06;2.58E-05;2.597655396;11744813_a_at
AARS;-0.510362989;7.879252817;-5.753877853;5.83E-08;2.33E-07;7.47592219;11716636_a_at
AARS2;-0.801671834;4.209979785;-8.82390347;5.92E-15;6.31E-14;23.31272374;11728816_at
AARSD1;-0.331369796;5.987128505;-3.666991959;0.000355164;0.000791415;-0.908630081;11728367_a_at
AASDH;-0.61564599;7.116548047;-5.382163433;3.27E-07;1.17E-06;5.797485455;11764048_a_at
AASDHPPT;-0.858486243;7.300632334;-9.861383294;1.64E-17;2.58E-16;29.1376796;11746371_a_at
AASS;-1.39202682;5.72723963;-5.604212242;1.18E-07;4.51E-07;6.791841147;11739600_s_at
AATF;-0.368105304;7.659721299;-4.092057873;7.41E-05;0.000184759;0.574880059;11732137_at
AATK;-1.424318358;6.438201815;-8.457204862;4.58E-14;4.29E-13;21.29014907;11734091_a_at
ABAT;-1.861702708;3.917461829;-14.94694488;3.92E-30;5.27E-28;57.96656244;11739130_a_at
ABCA1;0.614335425;9.073550947;4.38994946;2.31E-05;6.23E-05;1.689143692;11739503_at
ABCA10;-0.674930341;7.129138847;-2.73118029;0.007177628;0.012630926;-3.690662827;11754673_s_at
ABCA11P;0.201219557;3.103380409;2.969102032;0.003550796;0.006613601;-3.050096006;11761956_at
ABCA12;0.440486068;3.526657322;2.556972856;0.011694597;0.019777733;-4.129371235;11732684_a_at
ABCA13;0.316789726;3.276410426;1.431621717;0.154625396;0.203516065;-6.309878402;11754735_s_at
ABCA2;-0.611741916;3.250366776;-9.42271134;2.01E-16;2.66E-15;26.65944667;11740139_s_at
ABCA3;-1.275028063;5.308117126;-6.058145756;1.36E-08;5.94E-08;8.899139643;11723351_a_at
ABCA4;-0.045931109;3.191565928;-0.904620068;0.367321608;0.433662712;-6.920862238;11752075_a_at
ABCA5;-2.272476014;7.392419851;-10.27124189;1.57E-18;2.86E-17;31.46761352;11736239_a_at
ABCA6;-2.880664207;5.739362804;-8.671370123;1.39E-14;1.41E-13;22.4685956;11759819_at
ABCA7;-0.283198558;3.338733591;-4.603180865;9.69E-06;2.78E-05;2.522341756;11749351_a_at
