GeneSymbol;DatasetID;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
MMP11;GSE62165;4.753138373;9.905653165;13.30625749;4.06E-26;2.55E-24;48.79363831;11721124_s_at
MMP12;GSE62165;3.621082914;7.124817041;6.42088543;2.27E-09;1.11E-08;10.64877071;11724589_s_at
MMP14;GSE62165;1.971329021;9.552058993;13.50788326;1.29E-26;8.76E-25;49.93276805;11725988_at
MMP7;GSE15471;3.060015059;9.692381324;7.61556224;5.04E-11;3.06E-09;14.83182016;204259_at
MYOF;GSE62165;2.572752799;10.18183201;15.8836932;2.24E-32;5.27E-30;63.08753217;11718168_a_at
NOX4;GSE62165;4.319273117;7.202948662;17.01799131;4.91E-35;2.45E-32;69.15557082;11740475_x_at
NPR3;GSE15471;2.002770862;5.590534923;7.939180048;1.19E-11;9.78E-10;16.24094092;219789_at
NQO1;GSE16515;3.583355404;8.76657166;9.232556738;1.71E-12;8.50E-09;18.14185377;210519_s_at
NT5E;GSE62165;3.271244253;8.606411925;11.5554224;9.49E-22;2.88E-20;38.81270217;11755207_a_at
OAS2;GSE62165;2.100506599;5.212987838;8.337467267;8.90E-14;7.97E-13;20.63500555;11726778_at
OLR1;GSE15471;2.974713998;5.477819471;10.52143377;1.18E-16;6.85E-14;27.49314869;210004_at
OSBPL3;GSE62165;2.649133846;6.999859415;13.16650049;9.01E-26;5.31E-24;48.0024243;11726432_a_at
PLA2R1;GSE15471;1.263668783;5.05168462;7.175966764;3.54E-10;1.31E-08;12.93098385;235746_s_at
PLAC8;GSE62165;3.771667583;9.163213143;10.63268373;1.95E-19;4.12E-18;33.53041844;11755748_s_at
PLAT;GSE62165;3.036163917;8.049406647;9.428007387;1.95E-16;2.58E-15;26.68924911;11749809_a_at
PLAU;GSE62165;3.847267702;7.587153976;13.7654893;2.98E-27;2.26E-25;51.38384376;11717154_a_at
POSTN;GSE15471;4.907273045;8.083804813;11.3118428;3.72E-18;4.33E-15;30.85951438;1555778_a_at
RUNX2;GSE62165;3.627029325;7.702940972;15.0406708;2.33E-30;3.37E-28;58.48311254;11725180_a_at
SCEL;GSE16515;3.274941986;5.445209173;6.679470488;1.70E-08;3.69E-06;9.368592267;206884_s_at
SDR16C5;GSE62165;4.898122165;7.80985636;11.858344;1.65E-22;5.65E-21;40.54706055;11754879_a_at
SEMA3C;GSE15471;3.043274772;7.437039645;9.077855835;7.24E-14;1.44E-11;21.22454259;203789_s_at
SERPINB3;GSE62165;3.35030935;5.932452318;4.713368193;6.12E-06;1.81E-05;2.964068631;11752805_s_at
SERPINB5;GSE62165;5.090462402;8.379915117;11.93177436;1.08E-22;3.80E-21;40.96723973;11736061_a_at
SLC22A3;GSE62165;2.432491798;5.637561842;7.544424118;6.68E-12;4.66E-11;16.37531652;11736281_a_at
SLC2A1;GSE62165;3.55098756;9.201384644;10.45361278;5.48E-19;1.08E-17;32.50767191;11756238_s_at
SLC6A14;GSE62165;4.72621556;8.13512377;8.747994568;9.06E-15;9.40E-14;22.89216263;11732565_at
SLC6A6;GSE62165;3.052622363;9.863087897;14.17821204;2.90E-28;2.69E-26;53.69763019;11721993_at
SLPI;GSE16515;3.101744692;9.379772253;8.541890899;1.98E-11;3.86E-08;15.81691164;203021_at
SRPX2;GSE62165;2.820352846;7.995681419;13.26715617;5.07E-26;3.13E-24;48.57240189;11723439_at
STYK1;GSE16515;2.468871336;5.273906374;8.574013586;1.76E-11;3.57E-08;15.92613202;220030_at
SULF1;GSE62165;4.634301042;9.536721467;22.02765567;5.91E-46;9.73E-42;94.01454854;11743282_a_at
SULF2;GSE62165;2.479638358;10.05904615;14.09834199;4.54E-28;4.03E-26;53.25098521;11740238_a_at
SYTL2;GSE62165;2.17359309;8.786040158;11.16326313;9.14E-21;2.37E-19;36.56650573;11755671_a_at
TCN1;GSE16515;3.196996979;9.289341763;4.754014294;1.65E-05;0.000414313;2.803967228;205513_at
TFF1;GSE16515;4.56065171;10.314944;5.841973959;3.55E-07;2.88E-05;6.461385977;205009_at
TGM2;GSE62165;2.544537908;10.55994818;11.86833504;1.56E-22;5.36E-21;40.60423763;11718399_s_at
THBS2;GSE62165;4.173533052;8.526254949;16.20884387;3.81E-33;1.07E-30;64.84239713;11742712_a_at
TMC5;GSE62165;3.233786018;8.26352567;8.864389718;4.72E-15;5.11E-14;23.53740541;11755543_a_at
TMEM45B;GSE16515;2.810942347;6.96158635;6.183702213;1.03E-07;1.22E-05;7.642687285;230323_s_at
TMPRSS4;GSE62165;4.865166645;9.299243405;11.44253146;1.82E-21;5.23E-20;38.16609991;11721268_s_at
TNFAIP6;GSE62165;3.202182697;8.386243874;14.4844519;5.18E-29;5.49E-27;55.40490808;11743636_at
TOP2A;GSE62165;2.882636611;8.619857515;9.520971345;1.15E-16;1.58E-15;27.21288699;11720970_at
TRIM29;GSE16515;4.961022496;7.962668354;9.252385498;1.60E-12;8.50E-09;18.20782824;202504_at
TRIM31;GSE16515;2.161698896;4.196583063;6.187790846;1.02E-07;1.21E-05;7.656874168;215444_s_at
TSPAN1;GSE16515;3.576464645;8.211121896;8.445261702;2.79E-11;4.36E-08;15.48777895;209114_at
VCAN;GSE62165;3.957548677;8.722164302;17.87268385;5.39E-37;4.84E-34;73.62463996;11748311_s_at
VSIG1;GSE16515;3.222718025;6.484443643;4.842265428;1.22E-05;0.000333366;3.092113821;243764_at
