GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
CNKSR2;-0.343041088;4.166419586;-4.027095088;9.52E-05;0.000624027;0.911898187;8166355
CNKSR3;-0.635884531;5.23209233;-5.92641055;2.59E-08;7.42E-07;8.730382717;8130422
CNMD;-0.071555816;3.07496173;-1.898437428;0.059842011;0.118091592;-4.896996631;7971838
CNN1;0.279629429;4.889270006;1.923974981;0.056530416;0.112881156;-4.849944749;8025918
CNN2;0.497472214;6.785833389;6.229570959;5.93E-09;2.23E-07;10.1481728;8024111
CNN3;0.129842853;8.192151705;1.645340326;0.10230121;0.180975633;-5.330958543;7917885
CNNM1;0.064375688;3.788833984;1.316986047;0.190146451;0.295744879;-5.804944956;7929732
CNNM2;0.076277538;4.486051848;1.639562331;0.103499681;0.182678446;-5.340173813;7930194
CNNM3;-0.327774795;5.301970031;-5.617468063;1.12E-07;2.49E-06;7.327367449;8043666
CNNM4;0.382861735;4.682256254;6.357111945;3.16E-09;1.37E-07;10.75597102;8043657
CNOT1;0.14015166;7.442829982;3.53148047;0.000571418;0.002695737;-0.758653436;8001693
CNOT10;0.108600273;5.500382614;2.23007545;0.027447605;0.062792789;-4.24018828;8078412
CNOT11;0.141795941;6.434223647;2.543755118;0.012130534;0.032510496;-3.529509408;8043937
CNOT2;0.17261475;6.500076263;3.093494684;0.002419203;0.008706463;-2.083458301;7957106
CNOT3;-0.086915934;5.176352467;-2.040374291;0.043326034;0.090847149;-4.627989312;8031122
CNOT4;-0.066326946;5.666902419;-1.335748187;0.183951671;0.287952554;-5.780606182;8143088
CNOT6;0.305347802;5.699910015;5.031318728;1.58E-06;2.20E-05;4.794467156;8110589
CNOT6L;-0.132646301;6.912710598;-2.201500954;0.029454548;0.066473369;-4.300650956;7989128
CNOT7;-0.142857181;6.471327838;-2.710062676;0.007629401;0.022279964;-3.118468932;8149475
CNOT8;0.253936575;6.346528337;6.33403088;3.54E-09;1.49E-07;10.64550024;8109462
CNOT9;0.189913177;6.394611571;3.652810285;0.000374114;0.001911149;-0.366005236;8048340
CNP;0.037212499;5.516151464;0.84732018;0.398364753;0.522841729;-6.304072567;8007188
CNPPD1;0.112855811;5.009886072;2.683579971;0.008225703;0.023672537;-3.185483595;8059097
CNPY1;-0.218772453;3.232691881;-3.498804193;0.000639355;0.00296004;-0.86253862;8144072
CNPY3;-0.170373169;6.902209439;-3.173804641;0.001875953;0.007089275;-1.851668049;8119609
CNPY4;0.377502339;4.069286999;3.769371215;0.000246711;0.001353737;0.021317768;8134730
CNR1;-0.244983849;3.572033715;-2.71975378;0.007421176;0.021799429;-3.093798818;8128043
CNR2;-0.055745934;4.012857785;-1.036564728;0.301851705;0.422123571;-6.128569595;7913705
CNRIP1;0.044362502;4.853586358;0.661618753;0.509379699;0.625839111;-6.442353388;8052735
CNST;0.010173167;4.566278609;0.186764395;0.852134798;0.900566481;-6.641685237;7911138
CNTD1;-0.229395349;2.57901587;-4.384368741;2.37E-05;0.00020319;2.220995022;8007388
CNTF;0.005778466;5.81463402;0.196424755;0.844582649;0.895265137;-6.639850798;7940118
CNTFR;-0.295979905;4.574888381;-4.68932192;6.80E-06;7.40E-05;3.402945582;8160823
CNTLN;0.134605894;4.204123319;1.87321005;0.063271668;0.12352722;-4.942893182;8154449
CNTN1;0.191439719;4.958551103;1.112993944;0.267752741;0.385146147;-6.047856644;7954899
CNTN2;-0.112901878;3.871652565;-3.017530738;0.003063813;0.01055081;-2.297989127;7909064
CNTN3;-0.22780047;3.80746572;-2.151454075;0.033278182;0.073406004;-4.404804171;8088866
CNTN4;-0.118484145;4.119161664;-1.189827571;0.236269857;0.349164702;-5.961045451;8077323
CNTN5;-0.065406072;2.588319707;-1.381069389;0.169613134;0.270207575;-5.720433871;7943319
CNTN6;-0.05281176;3.017817587;-1.8916313;0.060751578;0.119595915;-4.909436336;8077299
CNTNAP1;0.014089698;4.173190997;0.220071357;0.826158761;0.881686162;-6.634970419;8007323
CNTNAP2;-0.0492979;3.1418483;-1.554217527;0.122549378;0.208818721;-5.472660737;8137010
CNTNAP3B;-0.034802792;4.481185555;-0.305094581;0.760779176;0.833062163;-6.612848845;8155460
CNTNAP4;-0.035379856;2.822298829;-1.533056757;0.127677603;0.215647821;-5.50445562;7997289
CNTNAP5;-0.116948326;3.052969186;-2.161673315;0.032464249;0.071945289;-4.383717624;8044976
CNTRL;0.121242875;4.798028608;1.462647196;0.145963159;0.239982979;-5.607219219;8157534
CNTROB;0.100383848;4.460102525;2.026188178;0.04477944;0.093212117;-4.65569524;8004741
COA1;0.072974531;6.578387799;1.148617105;0.252810558;0.367831906;-6.008313112;8139244
COA3;-0.466684594;5.722183786;-4.94063238;2.34E-06;3.04E-05;4.418954339;8015712
COA4;-0.118842664;5.214347065;-2.994201278;0.003291539;0.011176664;-2.362946139;7950294
COA5;0.068363214;4.933164739;1.231748813;0.220253268;0.331051012;-5.911291056;8054131
COA6;0.06967803;4.583803781;1.078690175;0.282711507;0.401032891;-6.084780347;7910630
COA7;-0.097112946;4.616435806;-2.113258478;0.036478642;0.078973287;-4.482793516;7916219
COA8;-0.065435485;5.124233173;-1.126781156;0.261898408;0.37846735;-6.032697001;7977119
COASY;-0.019883027;5.55564836;-0.410378234;0.682200091;0.772726248;-6.575546707;8007272
COBL;-0.187229193;4.339138122;-2.228449786;0.027558498;0.063005764;-4.2436475;8139680
COBLL1;-0.571374263;6.316829488;-6.187544319;7.29E-09;2.65E-07;9.949326733;8056343
COCH;-0.831197427;4.8004594;-5.179542001;8.20E-07;1.29E-05;5.417999121;7973797
COG1;-0.063845216;5.395573233;-1.553862816;0.122633979;0.208899199;-5.473197165;8009533
COG2;0.165911088;5.060687057;2.907428837;0.004282273;0.013868968;-2.600689203;7910446
COG3;-0.026574842;6.149447919;-0.502362412;0.6162575;0.718823162;-6.533996638;7968931
COG4;0.369468724;5.785788503;5.471597428;2.19E-07;4.39E-06;6.680620537;8002381
COG5;-0.07361949;6.908055591;-2.192714936;0.030096775;0.067565554;-4.319096564;8142143
COG6;-0.082084993;6.551306606;-1.087885068;0.278646807;0.396733614;-6.074994502;7968711
COG7;0.356985486;5.168513541;6.737063979;4.65E-10;2.76E-08;12.60332619;8000263
