GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
A1BG;-0.116696974;4.144054421;-1.981808898;0.052865408;0.125342474;-4.594376991;229819_at
A1BG-AS1;-0.305298527;3.964677878;-4.310067326;7.40E-05;0.001146755;1.386576855;232462_s_at
A1CF;-1.351852455;5.360327309;-3.521314257;0.000910482;0.006332549;-0.961679879;241547_at
A2M;-0.161254551;2.643349944;-2.525175373;0.014692772;0.048222135;-3.488586413;1558450_at
A2M-AS1;-0.14984216;4.060042416;-0.575551497;0.567432099;0.694902326;-6.312750903;1564139_at
A2ML1;0.212247573;2.689532771;1.609546716;0.113628021;0.221032483;-5.21943908;1553505_at
A2MP1;0.040858856;2.638644912;0.356746432;0.72274344;0.815570955;-6.413859824;236394_at
A4GALT;-0.261201855;3.985103514;-2.414579344;0.01935343;0.059229839;-3.731043717;219488_at
A4GNT;0.265732274;3.054025574;1.547362539;0.127917274;0.240480072;-5.312555456;221131_at
AA06;-0.038332743;3.53496698;-0.725599432;0.471378429;0.611973911;-6.21636391;241552_at
AAAS;-0.26682343;6.146508859;-2.295332619;0.025831659;0.073418911;-3.98279173;218075_at
AACS;0.064729208;7.744898957;0.454706576;0.651236833;0.762448508;-6.374411701;218434_s_at
AACSP1;-0.147417172;3.096408216;-3.215306268;0.002255353;0.01204141;-1.797842618;1570020_at
AADAC;0.159819458;6.094336443;0.289670689;0.773234605;0.852277821;-6.435403609;205969_at
AADACL2;-0.046975106;2.808758642;-2.8664226;0.006005093;0.024798194;-2.689026972;240420_at
AADACP1;0.39008692;2.86743962;1.819403566;0.074682133;0.161561312;-4.881057596;1569582_at
AADAT;-0.329757039;5.27624344;-2.285811025;0.026424074;0.074719059;-4.002450755;223593_at
AAGAB;0.529175789;7.307195957;5.00538592;6.93E-06;0.000226468;3.62951845;202852_s_at
AAK1;-0.383921986;8.153149281;-3.771214343;0.000421325;0.003701114;-0.245324566;225522_at
AAMDC;-0.192885364;6.362972886;-1.40519025;0.165985831;0.291150929;-5.512841455;221600_s_at
AAMP;0.033032149;7.217004649;0.253011237;0.801269675;0.871523163;-6.445294791;201511_at
AANAT;-0.05200913;2.47879526;-2.184994341;0.033476815;0.089262246;-4.206506173;207225_at
AAR2;0.006356098;6.807612179;0.080967832;0.935782288;0.961310531;-6.473884419;218089_at
AARS1;-0.02769495;8.946196324;-0.200034217;0.842243902;0.899934775;-6.457232908;201000_at
AARS2;-0.294858864;4.926279;-2.475353225;0.016649472;0.052960082;-3.598860954;230024_at
AARSD1;0.064875296;5.596527285;0.456365339;0.650051707;0.7615177;-6.373662322;222064_s_at
AASDH;-0.213855118;5.946191236;-1.739355998;0.087963865;0.182876034;-5.014466873;228041_at
AASDHPPT;-0.561523307;8.808137459;-3.428556093;0.001203957;0.007719009;-1.220139376;202169_s_at
AASS;-0.851034772;5.206170107;-5.053249088;5.86E-06;0.000202546;3.78830992;210852_s_at
AATBC;0.544943124;3.669986256;3.23589004;0.002124721;0.011537737;-1.743121042;1563088_a_at
AATF;0.121566589;7.497796392;1.127152819;0.264917383;0.408271948;-5.852436055;209165_at
AATK;-0.920115201;6.865926504;-4.399952297;5.48E-05;0.000935721;1.668829702;205986_at
ABAT;-1.919012698;8.177228939;-5.389102634;1.79E-06;8.88E-05;4.914900109;209460_at
ABCA1;0.152404993;3.250359719;1.892705431;0.064039961;0.144145999;-4.754290198;1570279_at
ABCA11P;-0.525571047;5.521839173;-3.621110718;0.00067135;0.005101497;-0.679015994;220159_at
ABCA12;0.401957562;3.120698158;2.472000347;0.016789253;0.05328712;-3.60622058;215465_at
ABCA13;0.342771649;3.439550626;1.676114638;0.099794728;0.200939773;-5.116100909;1553605_a_at
ABCA17P;0.11294089;3.215292211;1.135574125;0.261407262;0.404288479;-5.843184296;231164_at
ABCA2;-0.073766704;3.104282639;-0.975537685;0.33386701;0.481132517;-6.007732421;210099_at
ABCA3;-0.450747032;4.668855146;-2.728625437;0.008686733;0.032630067;-3.02094723;204343_at
ABCA4;-0.214985563;2.638881731;-1.854839216;0.069364752;0.15305928;-4.820320226;210082_at
ABCA5;-1.49749006;7.619711464;-5.462744184;1.38E-06;7.43E-05;5.164489138;213353_at
ABCA6;-0.64329703;5.380295854;-2.567164958;0.013208328;0.044631351;-3.39433048;217504_at
