GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
A1BG;-0.225058357;5.307328111;-2.904408417;0.004777209;0.009237953;-2.80023298;229819_at
A1BG-AS1;-0.162283583;4.870492709;-3.139546994;0.002384923;0.004975604;-2.164317758;232462_s_at
A1CF;-1.146004586;5.544891368;-4.15338941;8.27E-05;0.000253802;0.985250932;241547_at
A2M;0.86961571;11.04245836;6.168299926;2.81E-08;3.22E-07;8.672121265;217757_at
A2M-AS1;0.811776396;5.341532303;3.924799771;0.000185052;0.000513955;0.222385581;1564139_at
A2ML1;-0.121618441;3.998271227;-2.587614189;0.011509561;0.020319188;-3.593241596;1553505_at
A2MP1;-0.360341242;4.400236602;-6.126100532;3.37E-08;3.69E-07;8.497922527;236394_at
A4GALT;-0.797137882;6.811084799;-6.350956698;1.29E-08;1.77E-07;9.430625992;219488_at
A4GNT;0.046413296;4.458109852;0.312153964;0.755751279;0.798379327;-6.757469329;221131_at
AA06;-0.453916939;5.359200019;-5.699204189;2.02E-07;1.53E-06;6.760341545;241552_at
AAAS;-0.347106694;7.297169624;-5.821244946;1.22E-07;1.01E-06;7.252225958;218075_at
AACS;-0.285316182;7.826997366;-2.961574284;0.004047839;0.007966725;-2.649239746;218434_s_at
AACSP1;-0.119027936;2.992978308;-3.20981628;0.001924935;0.004109719;-1.966813423;1570020_at
AADAC;-1.045294819;7.277578448;-2.968103156;0.003971441;0.007831585;-2.631845542;205969_at
AADACL2;-0.074626021;2.915383915;-2.287202482;0.024878035;0.040333488;-4.27355287;240420_at
AADACP1;-0.047013399;3.776675306;-0.231779969;0.817312138;0.850427077;-6.779319766;1569582_at
AADAT;0.002877817;5.609179651;0.03101732;0.975334464;0.980986237;-6.80570568;223593_at
AAGAB;-0.279443769;6.643895108;-3.637084903;0.000491322;0.001217173;-0.696200958;202851_at
AAK1;-0.194811708;4.007797536;-3.943705311;0.00017329;0.00048583;0.284402036;238100_at
AAMDC;-0.396139365;7.531080955;-4.928428524;4.52E-06;2.06E-05;3.762172051;221600_s_at
AAMP;-0.242471061;8.065872089;-3.776869215;0.000307397;0.000804197;-0.255917593;201511_at
AANAT;-0.210651676;3.631394195;-3.70881908;0.000386739;0.000984082;-0.471704389;207225_at
AAR2;0.003657901;7.301503749;0.094121511;0.925252494;0.940370661;-6.801755252;218089_at
AARS1;-0.427831938;8.890965324;-4.404285228;3.32E-05;0.00011474;1.853705364;201000_at
AARS2;-0.726556371;6.49321122;-7.054179309;6.05E-10;1.91E-08;12.40796872;230024_at
AARSD1;-0.194406845;7.009864446;-2.852333083;0.005545263;0.010557395;-2.935719507;222064_s_at
AASDH;0.266015894;6.737671533;2.523431243;0.013641533;0.023627547;-3.744598252;228041_at
AASDHPPT;-0.228192952;8.604856665;-1.622576947;0.108690025;0.149767563;-5.5109147;202169_s_at
AASS;0.205031823;5.119625983;1.479475953;0.143015735;0.190837734;-5.726299743;210852_s_at
AATBC;-0.056459464;3.717401116;-0.852404277;0.396583314;0.463072317;-6.444372398;1563088_a_at
AATF;-0.15093243;7.928033533;-2.559829375;0.012392501;0.02169789;-3.659157823;209165_at
AATK;-0.917831665;7.995996761;-7.08498527;5.28E-10;1.74E-08;12.54009371;205986_at
ABAT;-1.193334845;6.18771749;-6.843077632;1.53E-09;3.74E-08;11.50596064;206527_at
ABCA1;1.016555638;8.167374662;6.049063057;4.67E-08;4.75E-07;8.18097517;203504_s_at
ABCA11P;0.018061314;5.791704868;0.171551625;0.864231566;0.890251161;-6.791466285;220159_at
ABCA12;0.15234857;2.870614514;2.716427703;0.008114686;0.014855369;-3.279888823;215465_at
ABCA13;0.272624436;2.795333619;3.621895306;0.000516679;0.001273816;-0.743340692;1553605_a_at
ABCA17P;0.037319342;3.960360326;0.335261677;0.738322122;0.783231704;-6.749994961;231164_at
ABCA2;-0.490338324;4.701607647;-5.618648731;2.82E-07;2.01E-06;6.437973989;210099_at
ABCA3;-0.499113551;6.836439982;-4.345048052;4.13E-05;0.000138754;1.645851491;204343_at
ABCA4;-0.362719931;4.688908079;-4.24365926;5.97E-05;0.00019099;1.294084397;210082_at
ABCA5;-0.957508402;8.468534295;-5.613372353;2.88E-07;2.04E-06;6.416925168;213353_at
ABCA6;0.571706038;5.552563925;3.147928359;0.002325111;0.004863997;-2.140937471;217504_at
ABCA7;-0.219917663;6.172893097;-1.809982345;0.074126212;0.10680574;-5.200901278;219577_s_at
ABCA8;-0.086585149;3.252252842;-2.245262673;0.027565133;0.044206248;-4.362742166;1565780_at
ABCA9;0.271419247;3.507395651;3.694484205;0.000405777;0.001027408;-0.516812056;235335_at
ABCB1;0.932476903;5.616348638;3.471085238;0.000845639;0.001977304;-1.203674452;209993_at
ABCB10;0.329193254;6.905176194;2.1055896;0.038437499;0.059514337;-4.649254704;223320_s_at
ABCB11;-0.227346257;3.377510321;-4.871047212;5.65E-06;2.49E-05;3.54753732;208288_at
ABCB4;0.36151092;5.200829672;2.386687217;0.019408309;0.03231566;-4.05624862;207819_s_at
ABCB5;-0.182351876;4.785542907;-2.972972094;0.003915337;0.007731546;-2.618853896;1555371_at
ABCB6;-0.472856819;5.487212063;-4.756108713;8.81E-06;3.64E-05;3.121646071;203191_at
ABCB7;0.060001779;7.411430607;0.919525978;0.3606379;0.426599969;-6.385467547;209620_s_at
ABCB8;-0.537285163;5.508578089;-5.789868945;1.39E-07;1.12E-06;7.125373299;206317_s_at
ABCB9;-0.380365362;6.287879065;-5.103503087;2.27E-06;1.14E-05;4.42497186;1555323_at
ABCC1;0.541115313;6.042740606;5.379193064;7.51E-07;4.49E-06;5.49133673;202805_s_at
ABCC10;0.811648372;7.20299743;7.817370092;2.05E-11;1.48E-09;15.70979426;213485_s_at
ABCC11;-0.429959321;4.968348263;-5.953749071;6.98E-08;6.51E-07;7.790808389;1554911_at
ABCC12;-0.466473914;3.851345671;-5.139169547;1.97E-06;1.01E-05;4.561413124;1553410_a_at
ABCC13;-0.599885968;3.929955043;-5.395821096;7.02E-07;4.24E-06;5.556484318;1552583_s_at
ABCC2;-0.924147156;4.760827491;-5.956975076;6.88E-08;6.44E-07;7.803977257;206155_at
ABCC3;0.601955989;7.781406387;3.845865021;0.000242947;0.000651742;-0.034383998;209641_s_at
ABCC4;0.486319858;6.555239293;3.878509583;0.000217165;0.00059092;0.071380748;203196_at
ABCC5;0.947084749;6.313903763;5.971109046;6.48E-08;6.15E-07;7.861704259;226363_at
ABCC6;-0.436048108;5.075459371;-5.572008336;3.42E-07;2.34E-06;6.252201254;208480_s_at
ABCC6P1;-0.324543534;3.462713568;-3.391151703;0.001092248;0.002483703;-1.441870211;236205_at
ABCC8;-0.750182664;5.207646231;-7.056353297;5.99E-10;1.90E-08;12.41728891;210245_at
ABCC9;0.449883453;4.472541357;4.296766666;4.92E-05;0.00016164;1.477704168;1557374_at
ABCD1;-0.458235849;6.035689693;-5.881065109;9.47E-08;8.28E-07;7.494807644;205142_x_at
ABCD2;-0.046586794;2.840069378;-0.888842827;0.376803562;0.442886144;-6.412937158;207583_at
ABCD3;-0.298413443;9.142005497;-2.335829052;0.022054161;0.03621925;-4.16834152;202850_at
ABCD4;-0.226098194;4.889613304;-4.701018985;1.09E-05;4.38E-05;2.919481109;203982_s_at
ABCE1;-0.021056098;8.119829182;-0.25234237;0.801436082;0.837235331;-6.774343291;201872_s_at
ABCF1;-0.242480253;8.160602927;-4.607998797;1.55E-05;5.94E-05;2.581103688;200045_at
ABCF2;-0.190184422;6.245127663;-2.60079423;0.011110965;0.019679678;-3.561764253;209246_at
ABCF2-H2BK1;0.249522869;6.898241814;3.272026154;0.001588351;0.00346513;-1.78917667;207622_s_at
