GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
ITPKC;0.235229786;4.71598325;2.716523447;0.007902865;0.02799266;-3.112068988;8028908
ITPR1;0.095946058;5.499608588;0.765860226;0.445751504;0.592785942;-6.344782919;8077376
ITPR2;-0.380599448;7.029481524;-4.430552592;2.63E-05;0.000278887;2.178764455;7961900
ITPR3;0.837504563;5.711308572;6.901060084;6.85E-10;5.62E-08;12.30446097;8118734
ITPRID1;-0.051269921;2.881018683;-1.521186592;0.131697894;0.247750978;-5.500006867;8132167
ITPRID2;-0.356815211;8.045037041;-2.231850393;0.028092584;0.075766517;-4.2266044;8046726
ITPRIP;0.092955635;4.145928723;1.379541749;0.171125547;0.301453711;-5.699476729;7936242
ITPRIPL1;-0.048370659;3.158143141;-1.250512646;0.214334534;0.354571295;-5.86490662;8043597
ITPRIPL2;0.131810598;4.395564996;2.344665064;0.021230503;0.061015769;-3.984287497;7993622
ITSN1;0.102832814;5.213783224;0.944770289;0.34729062;0.498703387;-6.193936062;8068305
ITSN2;-0.179899341;6.181855183;-2.972863908;0.003779861;0.015559788;-2.447835507;8050719
IVD;0.063785635;5.069011711;0.954868003;0.342186984;0.493485665;-6.184498654;7982723
IVL;-0.11884971;2.779953156;-1.671952765;0.09798633;0.198607553;-5.267428645;7905533
IVNS1ABP;0.349947509;8.779236611;3.886602792;0.000193384;0.001408024;0.298068846;7922889
IWS1;0.195580993;5.673880936;3.684953633;0.000389201;0.002485804;-0.355218695;8055021
IYD;0.419788449;3.377238004;4.225778115;5.67E-05;0.000523648;1.451443397;8122744
IZUMO1;-0.373935075;3.193647072;-4.620436366;1.26E-05;0.00015322;2.872631445;8038177
IZUMO1R;-0.042193598;3.887219584;-1.056452942;0.293572101;0.443190555;-6.084099496;7943226
IZUMO2;-0.038281344;2.792398965;-0.896891737;0.372155334;0.523370135;-6.237343985;8038532
IZUMO4;-0.081888489;3.971107805;-2.069720058;0.041327671;0.102657765;-4.556050993;8024373
JADE1;-0.663955405;5.599746373;-5.798917072;9.65E-08;3.02E-06;7.534229651;8097417
JADE2;0.046850096;4.95331048;0.914570516;0.362846414;0.514010164;-6.221573854;8108080
JADE3;-0.129874326;4.163027536;-1.87095552;0.064581084;0.144874606;-4.929005089;8167013
JAG1;0.418145407;7.553164588;4.611642157;1.31E-05;0.000157633;2.840098533;8064978
JAG2;0.037133811;4.813954324;0.727213619;0.468971338;0.613917996;-6.373281189;7981538
JAGN1;-0.268817262;5.842891743;-3.644483539;0.000446591;0.002778587;-0.483270452;8077663
JAK1;0.057005909;8.080122226;1.080031794;0.282996666;0.432083285;-6.059380679;7916747
JAK2;0.237829654;5.664711106;2.110730345;0.037552369;0.095284471;-4.474837018;8154178
JAK3;0.09544319;4.148262696;1.370652584;0.173871807;0.305005968;-5.711373586;8035351
JAKMIP1;-0.093359901;3.592034858;-1.849560195;0.067639444;0.150056336;-4.967084391;8099200
JAKMIP2;0.258131296;3.41930948;2.063823566;0.041896508;0.103758281;-4.567609112;8114938
JAKMIP3;-0.057276437;3.491352581;-1.709333811;0.090814692;0.18758796;-5.206567558;7931417
JAM2;-0.37303213;5.119445738;-3.422745248;0.000932593;0.005015464;-1.166024237;8068024
JAM3;0.398199346;5.952551837;2.642799165;0.009688612;0.032936945;-3.293756652;7945262
JAML;0.214720578;5.91037784;1.111348781;0.269360749;0.417132039;-6.025728251;7952022
JARID2;0.154693648;5.747803865;1.94851383;0.054450113;0.127296181;-4.78758337;8116998
JAZF1;0.077364706;6.017213933;1.338646878;0.18403733;0.317894674;-5.753597459;8138789
JCAD;-0.047746963;5.275736235;-0.578523972;0.564346761;0.694493654;-6.469303815;7932826
JCHAIN;-0.259413114;9.21195614;-0.742730083;0.459567846;0.605444017;-6.362014303;8100827
JDP2;-0.168500646;7.069919831;-2.247741694;0.02702117;0.073633582;-4.193114919;7975787
JHY;-0.04667794;4.203225662;-0.726567433;0.469365282;0.614322271;-6.373745303;7944751
JKAMP;0.231825514;6.579075365;3.741797979;0.000320308;0.00213088;-0.173608815;7974725
JMJD1C;0.00633168;7.792408756;0.080950693;0.93565984;0.961813272;-6.632069207;7933877
JMJD1C-AS1;-0.089219374;4.597347409;-1.755147658;0.082616614;0.174615433;-5.13026003;7927784
JMJD4;0.09408034;4.484655752;1.815200756;0.072803906;0.158803336;-5.027387828;7924823
JMJD6;0.02693169;5.380484007;0.417560731;0.677256864;0.784139264;-6.548758809;8018793
JMJD7;-0.105001112;4.354436113;-2.76840005;0.006831897;0.024915367;-2.981688784;7983021
JMJD8;-0.191266742;5.38280587;-2.705194541;0.008156198;0.028672828;-3.140264173;7998267
JMY;-0.321957447;5.775615765;-3.286577117;0.001444066;0.007159844;-1.569003551;8106516
